external_id,SMILES,original_format_type,value,units,source,measurement_type,reference,is_open,is_predicted
104,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,SMILES,0,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
105,CC1=CC2=C(NC3=CC=CC=C3N=C2S1)N4CCN(CC4)C,SMILES,0.78,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
106,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,SMILES,-0.82,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
107,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,SMILES,0.6,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
108,CN1C=NC2=C1C(=O)N(C(=O)N2)C,SMILES,0.07,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
109,CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O,SMILES,0.51,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
110,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,SMILES,0.08,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
111,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,SMILES,-0.52,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
112,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,SMILES,-0.14,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
113,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,SMILES,-0.07,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
114,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N,SMILES,0.05,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
115,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31,SMILES,1.08,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
116,CC(C)C1=C(C(=CC=C1)C(C)C)O,SMILES,0.63,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
117,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,SMILES,0.84,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
118,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2,SMILES,0.49,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
119,CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C,SMILES,-1.23,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
